coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
ttfs,1,0.4329896907216495,1.8691371794828435,0.40186915887850466,1.822658782807466,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,2,0.4824742268041237,1.7333723812988124,0.45794392523364486,1.6249529424114761,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,3,0.48041237113402063,1.6724571402539912,0.45794392523364486,1.6310438853557978,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,4,0.5092783505154639,1.692401311569607,0.411214953271028,1.7375415674993926,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,5,0.5247422680412371,1.6797159059760496,0.4953271028037383,1.681003483656411,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,6,0.4814432989690722,1.7021130923143368,0.411214953271028,1.6861448365951253,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,7,0.49587628865979383,1.6660278335060041,0.4205607476635514,1.6979705819459718,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,8,0.5123711340206185,1.6475811100497688,0.4392523364485981,1.6958290394221511,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,9,0.5309278350515464,1.634546726757718,0.4766355140186916,1.6487222330592504,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,10,0.5237113402061856,1.6616369564508655,0.5046728971962616,1.657454627696599,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,1.0,,
ttfs,1,0.4175257731958763,1.969553534271791,0.514018691588785,1.7551350459874233,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
ttfs,2,0.5298969072164949,1.6776226097775488,0.45794392523364486,1.6841680279401976,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
ttfs,3,0.5649484536082474,1.5664724504824765,0.5327102803738317,1.61904754259876,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
ttfs,4,0.5876288659793815,1.5373536075513388,0.5327102803738317,1.6122389207376497,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
ttfs,5,0.5948453608247423,1.509763213285466,0.514018691588785,1.5867854880395336,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
ttfs,6,0.6051546391752577,1.4873888649891331,0.5607476635514018,1.5694541808600737,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,1.0,,
