coding,epoch,train_acc,train_loss,val_acc,val_loss,T,hidden_dim,tau,tau_out,lr,batch_size,seed,rate_scale,ttfs_alpha,ttfs_t_max,phase_period,burst_win,test_acc,test_loss,test_acc_pct,mean_latency_t,mean_spikes_per_sample,throughput_sps,minutes
ttfs,1,0.268041237113402,2.2422962205926167,0.3271028037383177,1.9769967471327736,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,2,0.4216494845360825,1.8254253185901448,0.4392523364485981,1.826105076575948,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,3,0.465979381443299,1.7436870710136965,0.4953271028037383,1.7182918965259446,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,4,0.490721649484536,1.6622138443681382,0.4299065420560747,1.71257370320436,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,5,0.5030927835051546,1.635315287236086,0.4579439252336448,1.7060394788456854,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,6,0.5350515463917526,1.6198061151602834,0.4299065420560747,1.7376001984159524,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,7,0.554639175257732,1.5944185522413743,0.5514018691588785,1.608908072810307,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,8,0.5804123711340207,1.5866917423366271,0.5514018691588785,1.6473668590884345,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,9,0.5618556701030928,1.5765206263237392,0.5607476635514018,1.6483498889709187,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,10,0.5793814432989691,1.5828653773081671,0.514018691588785,1.6694446256227582,20,256,2.0,2.0,0.001,16,42,,1.0,20,,,0.4962121212121212,1.7336123423142866,49.621212121212125,0.0643939393939393,61.41666666666666,28.49739704621023,3.760409633318583
ttfs,1,0.2752577319587629,2.2791683801670666,0.3271028037383177,2.0274127755209665,20,256,2.0,2.0,0.001,16,42,,2.0,20,,,0.4356060606060606,1.88740340868632,43.56060606060606,0.0227272727272727,80.7840909090909,28.234524767330843,3.7602713108062735
ttfs,2,0.4082474226804123,1.9249361802622216,0.411214953271028,1.8823941823478056,20,256,2.0,2.0,0.001,16,42,,2.0,20,,,0.4356060606060606,1.88740340868632,43.56060606060606,0.0227272727272727,80.7840909090909,28.234524767330843,3.7602713108062735
ttfs,3,0.4731958762886598,1.844898880634112,0.4579439252336448,1.8587186369940496,20,256,2.0,2.0,0.001,16,42,,2.0,20,,,0.4356060606060606,1.88740340868632,43.56060606060606,0.0227272727272727,80.7840909090909,28.234524767330843,3.7602713108062735
