coding,epoch,train_acc,train_loss,val_acc,val_loss,T,lr,tau,tau_out,hidden_dim,batch_size,seed,run_id,rate_scale,ttfs_alpha,phase_period,burst_win
phase,8,0.411340206185567,1.657786584146244,0.34579439252336447,1.729775735150988,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,9,0.4020618556701031,1.6602887669789423,0.40186915887850466,1.6157433329341568,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,10,0.38762886597938145,1.684984042472446,0.37383177570093457,1.6513838054977845,10,0.002,2.0,2.0,256,16,42,T10_lr0.002_tau2.0,,,8,
phase,1,0.18453608247422681,2.4068961713731905,0.1308411214953271,2.4635760204814305,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,2,0.28350515463917525,2.1501809257821938,0.19626168224299065,2.296940783473933,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,3,0.28556701030927834,2.116958651591822,0.35514018691588783,2.2451017058898355,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,4,0.30721649484536084,2.0590955105024515,0.19626168224299065,2.2908959121347587,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,5,0.3268041237113402,2.0187177245149908,0.24299065420560748,2.329823083966692,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,6,0.3711340206185567,1.968699815592815,0.3177570093457944,2.1204649354809915,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,7,0.37422680412371134,1.94739240174441,0.308411214953271,2.2160510504357167,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
phase,8,0.37731958762886597,1.9369978172262918,0.2803738317757009,2.210468647635986,20,0.0005,2.0,2.0,256,16,42,T20_lr0.0005_tau2.0,,,8,
